"age","value.Polygenic risk score","low.se.Polygenic risk score","upper.se.Polygenic risk score","value.Pooled cohort equations","low.se.Pooled cohort equations","upper.se.Pooled cohort equations","value.LDL Cholesterol","low.se.LDL Cholesterol","upper.se.LDL Cholesterol","value.Smoking","low.se.Smoking","upper.se.Smoking","value.Age","low.se.Age","upper.se.Age","value.Systolic blood pressure","low.se.Systolic blood pressure","upper.se.Systolic blood pressure","value.Diabetes mellitus","low.se.Diabetes mellitus","upper.se.Diabetes mellitus","value.Body Mass Index","low.se.Body Mass Index","upper.se.Body Mass Index","value.Male Sex","low.se.Male Sex","upper.se.Male Sex","value.HDL cholesterol","low.se.HDL cholesterol","upper.se.HDL cholesterol","value.Total cholesterol","low.se.Total cholesterol","upper.se.Total cholesterol"
41,2.155,1.7,2.732,1.237,1.18,1.298,1.687,1.359,2.095,3.513,2.126,5.805,1.01,0.484,2.105,1.494,1.122,1.991,NA,NA,NA,1.419,1.174,1.714,3.201,1.818,5.637,0.377,0.263,0.539,1.678,1.337,2.105
42,1.821,1.607,2.065,1.218,1.187,1.249,1.802,1.624,2,2.818,2.151,3.692,0.989,0.844,1.159,1.689,1.469,1.941,2.403,0.598,9.666,1.389,1.261,1.53,3.709,2.75,5.002,0.427,0.357,0.512,1.752,1.567,1.96
43,1.749,1.566,1.955,1.223,1.196,1.25,1.854,1.702,2.02,3.112,2.456,3.943,0.944,0.825,1.08,1.706,1.516,1.919,3.163,1.014,9.863,1.391,1.276,1.515,3.878,2.974,5.058,0.449,0.384,0.525,1.793,1.63,1.972
44,1.693,1.53,1.873,1.208,1.187,1.23,1.881,1.744,2.028,2.982,2.393,3.716,1.008,0.89,1.142,1.793,1.618,1.987,2.364,0.759,7.364,1.411,1.303,1.527,4.106,3.21,5.252,0.467,0.405,0.538,1.863,1.71,2.03
45,1.728,1.576,1.896,1.208,1.19,1.227,1.821,1.69,1.962,3.092,2.529,3.781,0.982,0.876,1.101,1.822,1.661,1.998,2.715,1.014,7.268,1.363,1.268,1.465,4.303,3.432,5.396,0.485,0.427,0.551,1.787,1.644,1.942
46,1.648,1.51,1.799,1.203,1.186,1.22,1.729,1.607,1.861,2.81,2.315,3.411,0.967,0.869,1.076,1.773,1.623,1.937,2.09,0.781,5.591,1.3,1.21,1.395,4.006,3.25,4.94,0.529,0.471,0.595,1.695,1.564,1.837
47,1.701,1.563,1.85,1.201,1.184,1.218,1.663,1.547,1.787,2.644,2.19,3.193,0.94,0.849,1.04,1.691,1.555,1.839,2.779,1.243,6.213,1.279,1.194,1.37,3.373,2.787,4.083,0.523,0.468,0.584,1.607,1.487,1.737
48,1.706,1.572,1.85,1.197,1.18,1.215,1.68,1.567,1.801,2.428,2.012,2.93,0.928,0.841,1.023,1.653,1.526,1.791,2.652,1.258,5.588,1.302,1.219,1.392,3.26,2.713,3.916,0.507,0.456,0.565,1.614,1.497,1.741
49,1.682,1.555,1.82,1.179,1.163,1.196,1.622,1.513,1.739,2.49,2.074,2.99,0.919,0.835,1.011,1.63,1.509,1.761,3.167,1.695,5.917,1.324,1.242,1.411,3.286,2.752,3.922,0.518,0.468,0.574,1.558,1.446,1.679
50,1.655,1.534,1.786,1.161,1.147,1.176,1.609,1.503,1.723,2.443,2.042,2.923,0.928,0.846,1.018,1.63,1.513,1.756,3.091,1.703,5.61,1.307,1.227,1.391,3.555,2.988,4.228,0.558,0.507,0.614,1.52,1.413,1.634
51,1.593,1.483,1.712,1.148,1.135,1.162,1.531,1.433,1.636,2.409,2.031,2.858,1,0.917,1.091,1.516,1.412,1.628,2.409,1.291,4.497,1.259,1.186,1.337,3.675,3.12,4.327,0.578,0.529,0.631,1.42,1.324,1.523
52,1.537,1.436,1.646,1.135,1.124,1.147,1.541,1.447,1.641,2.197,1.859,2.597,0.978,0.9,1.062,1.478,1.382,1.58,2.323,1.281,4.211,1.237,1.168,1.31,3.797,3.248,4.439,0.572,0.527,0.622,1.393,1.303,1.489
