"age","value.Polygenic risk score","value.Pooled cohort equations","value.LDL Cholesterol","value.Smoking","value.Age","value.Systolic blood pressure","value.Diabetes mellitus","value.Body Mass Index","value.Male Sex","value.HDL cholesterol","value.Total cholesterol"
41,0.053,0.056,0.027,0.027,0,0.009,0.001,0.015,0.025,0.045,0.024
42,0.041,0.057,0.03,0.027,0.002,0.014,0,0.015,0.034,0.04,0.024
43,0.033,0.051,0.038,0.019,0.002,0.018,0,0.013,0.031,0.036,0.03
44,0.033,0.058,0.044,0.023,0.003,0.019,0,0.015,0.033,0.036,0.035
45,0.031,0.066,0.046,0.023,0.005,0.024,0,0.016,0.037,0.034,0.038
46,0.031,0.069,0.043,0.021,0.006,0.027,0.001,0.013,0.038,0.032,0.035
47,0.028,0.073,0.041,0.02,0.007,0.026,0,0.012,0.037,0.029,0.033
48,0.029,0.073,0.04,0.019,0.007,0.026,0.001,0.012,0.035,0.03,0.033
49,0.03,0.072,0.04,0.017,0.007,0.027,0.001,0.012,0.035,0.03,0.032
50,0.028,0.07,0.037,0.017,0.007,0.026,0.001,0.012,0.035,0.028,0.03
51,0.028,0.07,0.036,0.016,0.007,0.027,0.001,0.011,0.035,0.027,0.029
52,0.027,0.068,0.034,0.014,0.009,0.025,0.001,0.01,0.036,0.026,0.026
53,0.025,0.067,0.034,0.014,0.01,0.025,0.001,0.01,0.036,0.025,0.025
54,0.024,0.067,0.032,0.014,0.01,0.024,0.001,0.009,0.036,0.023,0.024
55,0.025,0.068,0.03,0.013,0.01,0.023,0.001,0.009,0.036,0.024,0.022
56,0.024,0.067,0.029,0.013,0.011,0.023,0.001,0.008,0.036,0.024,0.02
57,0.023,0.068,0.027,0.012,0.012,0.023,0.001,0.008,0.036,0.024,0.019
58,0.023,0.068,0.026,0.011,0.013,0.023,0.001,0.007,0.035,0.024,0.017
59,0.023,0.067,0.024,0.011,0.014,0.023,0.001,0.007,0.036,0.025,0.015
60,0.022,0.068,0.023,0.01,0.015,0.024,0.001,0.007,0.034,0.025,0.014
61,0.02,0.068,0.022,0.009,0.017,0.024,0.001,0.007,0.034,0.025,0.013
62,0.019,0.066,0.02,0.009,0.018,0.023,0.001,0.007,0.033,0.024,0.012
63,0.019,0.066,0.019,0.008,0.018,0.024,0.001,0.007,0.033,0.023,0.011
64,0.018,0.065,0.018,0.007,0.02,0.024,0.001,0.007,0.032,0.022,0.01
65,0.018,0.064,0.017,0.007,0.021,0.023,0.002,0.006,0.032,0.022,0.009
66,0.018,0.065,0.016,0.006,0.022,0.024,0.002,0.006,0.032,0.022,0.008
67,0.017,0.065,0.015,0.006,0.024,0.024,0.002,0.006,0.031,0.021,0.008
68,0.017,0.065,0.014,0.005,0.025,0.025,0.002,0.006,0.031,0.021,0.007
69,0.017,0.064,0.014,0.005,0.027,0.025,0.002,0.005,0.03,0.021,0.007
70,0.016,0.064,0.013,0.005,0.027,0.025,0.002,0.005,0.029,0.021,0.006
